vesselName,callSign,imoNumber,flag,departedTime
AYU 28,YCJJ,9413080,ID,2025-07-01 00:00:00
JIU XU 36,BOYQ4,9564956,CN,2025-07-01 00:00:00
BELKNIGHT,LANT8,9911666,NO,2025-07-01 00:10:00
NJ PLUTO,V4WV5,9263253,KN,2025-07-01 00:10:00
SAO MASTER,V7A2852,9824095,MH,2025-07-01 00:10:00
EVER VOW,9V7813,9950947,SG,2025-07-01 00:25:00
MARINE ZAMBEZI,9V5163,9809887,SG,2025-07-01 00:27:00
TOLL EMPEROR,9V6673,9355927,SG,2025-07-01 00:27:00
INTEGRA,V7FW4,9730854,MH,2025-07-01 00:40:00
AFRA ROSSI,9HA5092,9431381,MT,2025-07-01 00:45:00
PRABHU NAND,9V9126,9425980,SG,2025-07-01 00:55:00
MSC YOKOHAMA,D5VS6,9285665,LR,2025-07-01 00:55:00
NOAH KING,V3KA3,0,BZ,2025-07-01 00:59:00
KATHRINE KOSAN,9V7450,9366940,SG,2025-07-01 01:00:00
EVA,D5CH3,9658068,LR,2025-07-01 01:10:00
HUI KANG HAI,VRTR6,9887750,HK,2025-07-01 01:15:00
YM WINNER,VROL7,9684689,HK,2025-07-01 01:20:00
DING HENG 43,V7A5164,9492957,MH,2025-07-01 01:30:00
PACIFIC HONOUR,9V9857,9651864,SG,2025-07-01 01:30:00
MAERSK HAVANA,9V9413,9784336,SG,2025-07-01 01:35:00
ASL TRANSPORTER 3,9V2638,9717151,SG,2025-07-01 01:39:00
OPL 77,9V6974,0,SG,2025-07-01 01:42:00
JIN WAN,VREY9,9446958,HK,2025-07-01 01:45:00
SEA LYRA,3E8913,9423061,PA,2025-07-01 02:10:00
SEA DANA,9VCF4,9433547,SG,2025-07-01 02:20:00
KITA LNG,9HA3422,9636723,MT,2025-07-01 02:20:00
DELAPAN SEMBILAN 89,PNEB,9574767,ID,2025-07-01 02:24:00
CIELO D EUROPA,5LET6,9539286,LR,2025-07-01 02:25:00
DONG GUI 19,BPIB8,9957763,CN,2025-07-01 02:25:00
CP CHONGQING,V7IL3,9710517,MH,2025-07-01 02:30:00
OCEAN HOPE,D7WX,9340453,KR,2025-07-01 02:30:00
KMTC MUMBAI,D7UF,9665695,KR,2025-07-01 03:05:00
MARCOPOLO 322,,0,ID,2025-07-01 03:15:00
OCEAN LORRY,5LLC2,9649706,LR,2025-07-01 03:15:00
SEA DRAGON 10,JVHT6,4573430,MN,2025-07-01 03:35:00
SEA DRAGON 11,JVLC6,0,MN,2025-07-01 03:48:00
MAJU DAYA 55,YDA3632,9742649,ID,2025-07-01 03:52:00
SANTIAGO DOLPHIN,YB3941,5258003,ID,2025-07-01 03:54:00
SORRENTO BAY 2318,,5630404,ID,2025-07-01 03:55:00
TUBUL,A8VP8,9447873,LR,2025-07-01 03:55:00
ARIANA,C6DM3,9828297,BS,2025-07-01 03:55:00
PRIMEPLUS II,YDA3418,9689469,ID,2025-07-01 03:56:00
BAJ 2305,,0,ID,2025-07-01 03:56:00
SEA DRAGON 8,JVKY4,4574040,MN,2025-07-01 03:59:00
SILVER HESSA,VRPS6,9718868,HK,2025-07-01 04:10:00
UNITY TRITON,C6IE2,9764104,BS,2025-07-01 04:10:00
SEA LONGEVITY,S6BJ4,9711092,SG,2025-07-01 04:29:00
COSCO SHIPPING PLANET,VRSU6,9795660,HK,2025-07-01 04:40:00
JOLLY RANDI,HO7922,3550810,PA,2025-07-01 04:41:00
HAFNIA AMMOLITE,9V8430,9727534,SG,2025-07-01 04:45:00
PARAMITA,D7CB,9162112,KR,2025-07-01 04:45:00
HOEGH SUNRISE,LAUM8,9971264,NO,2025-07-01 04:55:00
SHANDONG DE FENG,V7A4394,9872119,MH,2025-07-01 05:00:00
COASTLINK 5,V3PE9,2471848,BZ,2025-07-01 05:01:00
GLANZ CORAL,3E4944,9966271,PA,2025-07-01 05:05:00
CANOPUS,T2LU5,9285469,TV,2025-07-01 05:15:00
FAZAH 1,5LHV7,9331593,LR,2025-07-01 05:50:00
CMA CGM ALHAMBRA,9HA6101,9961336,MT,2025-07-01 06:00:00
MERKUR FJORD,9HA3340,9620607,MT,2025-07-01 06:00:00
AQUAGRACE,SVDX3,1014577,GR,2025-07-01 06:05:00
SEA WREN,E6AI3,0,NU,2025-07-01 06:06:00
OPL 55,9V3582,0,SG,2025-07-01 06:26:00
CESI GLADSTONE,VRPI2,9672820,HK,2025-07-01 06:30:00
HELIOS,ONKN,9984857,BE,2025-07-01 06:30:00
QSA PT 3,9V5133,9808730,SG,2025-07-01 06:44:00
INFINITI 5,,0,SG,2025-07-01 06:44:00
AYU 68,PMBH,9465564,ID,2025-07-01 06:44:00
TORM SUCCESS,OXRQ2,9836048,DK,2025-07-01 06:45:00
STRAITS BRILLIANCE,9V9968,9656876,SG,2025-07-01 06:47:00
ONE FANTASTIC,VRVB6,9936381,HK,2025-07-01 06:50:00
PROPEL PASSION,9V7733,9473676,SG,2025-07-01 06:50:00
TAICHUNG,3EHI,9194505,PA,2025-07-01 07:00:00
MTT SANDAKAN,9M2523,9872248,MY,2025-07-01 07:00:00
NAVE GALACTIC,5BNV6,9384617,CY,2025-07-01 07:05:00
JOLLY REBECCA,JVJZ6,0,MN,2025-07-01 07:06:00
ALS VENUS,9V5905,9525948,SG,2025-07-01 07:30:00
FRONT DEE,D5RW3,9723069,LR,2025-07-01 07:30:00
CAPRICORN 110,YDA3884,0,ID,2025-07-01 07:40:00
CAPRICORN 57,,0,ID,2025-07-01 07:40:00
IAN M,D5AC6,9434773,LR,2025-07-01 07:40:00
WATERFRONT 2,9V5525,9174529,SG,2025-07-01 07:41:00
PROSPAQ ASIA 3,9LU2380,9571155,SL,2025-07-01 07:42:00
KOI 8,,0,SL,2025-07-01 07:42:00
SEVEN SEAS CONQUERESS,9M2454,5331303,MY,2025-07-01 07:44:00
C UTOPIA,V7A5196,9344461,MH,2025-07-01 07:45:00
SEAWAYS ROSE,V7A6973,9354911,MH,2025-07-01 07:45:00
CAPRICORN 80,YDB4204,9637052,ID,2025-07-01 07:48:00
CAPRICORN 51,,0,ID,2025-07-01 07:50:00
KOTA DUTA,9V8167,9483487,SG,2025-07-01 07:50:00
ASIA GLORY 6,YCBC2,9101572,ID,2025-07-01 08:00:00
QUEEN STAR 8,9V3847,9797125,SG,2025-07-01 08:00:00
TWM 53 230,,0,SG,2025-07-01 08:05:00
KOUTALIANOS,A8WZ2,9332016,LR,2025-07-01 08:10:00
WAN SENDARI,9V7455,9503718,SG,2025-07-01 08:11:00
MAJESTIC HARMONY,9VCO4,1073121,SG,2025-07-01 08:15:00
BATAMFAST 19,9V9612,9103946,SG,2025-07-01 08:15:00
HORIZON 9,9V2413,9732113,SG,2025-07-01 08:19:00
CASSANDRA,V3UP2,8681513,BZ,2025-07-01 08:20:00
CASSANDRA 2401,,5250184,MY,2025-07-01 08:20:00
NORTH MOON,9V8192,9958303,SG,2025-07-01 08:20:00
SOUTHERN CETACEA,9V9163,9565625,SG,2025-07-01 08:30:00
QUEEN STAR 2,9V8145,9571026,SG,2025-07-01 08:36:00
GOLDEN RAIDER,YC3107,8852124,ID,2025-07-01 08:48:00
WAVEMASTER 7,9V6138,9264257,SG,2025-07-01 08:48:00
MEKELE,ETMK,9617416,ET,2025-07-01 08:50:00
EBBA MAERSK,9VCX8,9321524,SG,2025-07-01 08:50:00
WAVEMASTER 9,9V6140,9275232,SG,2025-07-01 08:53:00
SG PEACE,9V5549,9580936,SG,2025-07-01 08:55:00
BARLIAN T1201,9V7031,9433432,SG,2025-07-01 08:55:00
REGENT GEMINI,9V2453,9736004,SG,2025-07-01 08:55:00
HK TUG 8,9V7834,9557537,SG,2025-07-01 08:56:00
MAERSK DHAKA,3FKF4,9871165,PA,2025-07-01 09:05:00
HOPE C,5LPB9,9978638,LR,2025-07-01 09:05:00
DING HENG 30,BPNZ7,9994917,CN,2025-07-01 09:10:00
LKH 2882,,0,SG,2025-07-01 09:20:00
BOW PLATINUM,LADG8,9777383,NO,2025-07-01 09:25:00
NAVIOS CANARY,3EBN6,9583005,PA,2025-07-01 09:25:00
QUEEN STAR 6,9V3846,9797113,SG,2025-07-01 09:26:00
